jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job209_scenario2_261,261,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job210_scenario2_262,262,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job211_scenario2_263,263,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job212_scenario3_264,264,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job213_scenario2_265,265,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job214_scenario3_266,266,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job215_scenario1_267,267,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job216_scenario3_268,268,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job217_scenario1_269,269,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job218_scenario2_271,271,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job219_scenario2_272,272,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job220_scenario1_273,273,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job221_scenario4_274,274,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job222_scenario2_275,275,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job223_scenario3_276,276,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job224_scenario1_277,277,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job225_scenario2_278,278,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job226_scenario1_279,279,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job227_scenario1_280,280,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job228_scenario2_282,282,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job229_scenario2_284,284,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job230_scenario2_285,285,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job231_scenario2_286,286,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job232_scenario1_287,287,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job233_scenario1_288,288,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job234_scenario2_289,289,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job235_scenario1_290,290,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job236_scenario1_292,292,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job237_scenario2_293,293,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job238_scenario1_294,294,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job239_scenario1_296,296,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job240_scenario1_297,297,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job241_scenario1_298,298,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job242_scenario2_300,300,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job243_scenario1_301,301,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job244_scenario1_303,303,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job245_scenario2_304,304,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job246_scenario2_306,306,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job247_scenario1_307,307,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job248_scenario1_308,308,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job249_scenario2_309,309,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job250_scenario4_310,310,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job251_scenario2_312,312,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job252_scenario2_314,314,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job253_scenario2_315,315,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job254_scenario2_316,316,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job255_scenario2_317,317,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job256_scenario2_318,318,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job257_scenario1_320,320,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job258_scenario1_321,321,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job259_scenario3_323,323,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job260_scenario1_324,324,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job261_scenario1_325,325,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job262_scenario1_326,326,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job263_scenario1_327,327,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job264_scenario1_328,328,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job265_scenario1_329,329,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job266_scenario4_330,330,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job267_scenario1_332,332,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job268_scenario2_333,333,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job269_scenario1_334,334,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job270_scenario1_336,336,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job271_scenario1_337,337,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job272_scenario4_338,338,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job273_scenario2_339,339,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job274_scenario2_340,340,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job275_scenario1_341,341,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job276_scenario1_343,343,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job277_scenario2_345,345,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job278_scenario1_346,346,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job279_scenario2_347,347,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job280_scenario2_348,348,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job281_scenario2_349,349,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job282_scenario1_350,350,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job283_scenario1_351,351,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job284_scenario2_355,355,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job285_scenario2_357,357,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job286_scenario1_358,358,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
