task_id,operator_id,expected_time,simulated_time,expected_quality
task166_scenario2_213,os5,6,6,60
task167_scenario1_214,os5,9,8,70
task168_scenario2_215,os5,6,7,60
task169_scenario2_216,os5,6,6,60
task170_scenario2_217,os5,6,7,60
task171_scenario1_218,os5,9,8,70
task172_scenario2_219,os5,6,6,60
task173_scenario3_220,os5,4,5,20
task174_scenario2_221,os5,6,6,60
task175_scenario1_222,os5,9,8,70
task176_scenario1_223,os5,9,10,70
task177_scenario4_224,os5,12,12,30
task178_scenario2_225,os5,6,7,60
task179_scenario3_226,os5,4,4,20
task180_scenario1_227,os5,9,9,70
task181_scenario1_228,os5,9,10,70
task182_scenario1_229,os5,9,8,70
task183_scenario2_230,os5,6,9,60
task184_scenario1_231,os5,9,8,70
task185_scenario1_232,os5,9,9,70
task186_scenario1_233,os5,9,9,70
task187_scenario1_234,os5,9,10,70
task188_scenario1_235,os5,9,10,70
task189_scenario2_236,os5,6,6,60
task190_scenario4_237,os5,12,13,30
task191_scenario2_238,os5,6,6,60
task192_scenario2_239,os5,6,6,60
task193_scenario1_240,os5,9,7,70
task194_scenario1_241,os5,9,9,70
task195_scenario2_242,os5,6,6,60
task196_scenario4_243,os5,12,13,30
task197_scenario4_244,os5,12,12,30
task198_scenario4_245,os5,12,11,30
task199_scenario2_246,os5,6,4,60
task200_scenario2_247,os5,6,7,60
task201_scenario2_248,os5,6,6,60
task202_scenario2_249,os5,6,7,60
task203_scenario2_250,os5,6,4,60
task204_scenario2_251,os5,6,5,60
task205_scenario1_252,os5,9,8,70
task206_scenario1_253,os5,9,7,70
task207_scenario2_254,os5,6,6,60
task208_scenario1_255,os5,9,8,70
task209_scenario2_256,os5,6,6,60
task210_scenario4_257,os5,12,14,30
task211_scenario1_258,os5,9,10,70
task212_scenario2_259,os5,6,5,60
task213_scenario1_260,os5,9,9,70
task214_scenario1_261,os5,9,9,70
task215_scenario1_262,os5,9,9,70
task216_scenario2_263,os5,6,5,60
task217_scenario1_264,os5,9,9,70
task218_scenario1_265,os5,9,7,70
task219_scenario2_266,os5,6,7,60
task220_scenario2_267,os5,6,5,60
task221_scenario2_268,os5,6,6,60
task222_scenario2_269,os5,6,5,60
task223_scenario2_271,os5,6,6,60
task224_scenario1_273,os5,9,9,70
task225_scenario1_274,os5,9,9,70
task226_scenario1_275,os5,9,10,70
task227_scenario4_276,os5,12,13,30
task228_scenario2_278,os5,6,6,60
task229_scenario1_279,os5,9,9,70
task230_scenario3_282,os5,4,4,20
task231_scenario1_283,os5,9,8,70
task232_scenario1_284,os5,9,8,70
task233_scenario4_285,os5,12,10,30
task234_scenario2_286,os5,6,4,60
task235_scenario1_287,os5,9,9,70
task236_scenario3_290,os5,4,3,20
task237_scenario2_291,os5,6,6,60
task238_scenario1_292,os5,9,9,70
task239_scenario1_293,os5,9,7,70
task240_scenario1_294,os5,9,9,70
task241_scenario1_295,os5,9,7,70
task242_scenario1_297,os5,9,8,70
task243_scenario4_299,os5,12,13,30
task244_scenario1_300,os5,9,10,70
task245_scenario4_301,os5,12,12,30
task246_scenario1_303,os5,9,8,70
task247_scenario1_304,os5,9,9,70
task248_scenario4_305,os5,12,13,30
task249_scenario1_306,os5,9,9,70
task250_scenario4_307,os5,12,9,30
task251_scenario1_308,os5,9,10,70
task252_scenario1_310,os5,9,9,70
task253_scenario1_311,os5,9,9,70
task254_scenario2_313,os5,6,5,60
task255_scenario2_314,os5,6,5,60
task256_scenario1_315,os5,9,9,70
task257_scenario2_316,os5,6,6,60
task258_scenario1_317,os5,9,10,70
task259_scenario3_318,os5,4,5,20
task260_scenario2_319,os5,6,6,60
task261_scenario1_320,os5,9,7,70
task262_scenario2_322,os5,6,6,60
task263_scenario1_323,os5,9,8,70
task264_scenario2_324,os5,6,6,60
task265_scenario1_325,os5,9,8,70
task266_scenario1_326,os5,9,9,70
task267_scenario2_328,os5,6,4,60
task268_scenario2_329,os5,6,5,60
task269_scenario1_330,os5,9,7,70
task270_scenario2_331,os5,6,7,60
task271_scenario1_332,os5,9,6,70
task272_scenario2_334,os5,6,5,60
task273_scenario1_335,os5,9,8,70
task274_scenario2_336,os5,6,7,60
task275_scenario4_337,os5,12,11,30
task276_scenario2_338,os5,6,7,60
task277_scenario2_339,os5,6,5,60
task278_scenario1_340,os5,9,10,70
task279_scenario4_341,os5,12,14,30
task280_scenario1_342,os5,9,8,70
task281_scenario1_343,os5,9,9,70
task282_scenario2_344,os5,6,6,60
task283_scenario2_345,os5,6,5,60
task284_scenario2_346,os5,6,6,60
task285_scenario3_347,os5,4,3,20
task286_scenario4_349,os5,12,13,30
task287_scenario4_351,os5,12,10,30
task288_scenario1_352,os5,9,9,70
task289_scenario1_353,os5,9,11,70
task290_scenario2_354,os5,6,7,60
task291_scenario3_356,os5,4,3,20
task292_scenario1_357,os5,9,9,70
task293_scenario4_359,os5,12,12,30
task0_scenario2_1,B22,5,4,60
task1_scenario1_2,B22,15,16,70
task2_scenario1_3,B22,15,15,70
task3_scenario1_6,B22,15,15,70
task4_scenario2_10,B22,5,5,60
task5_scenario2_11,B22,5,4,60
task6_scenario1_13,B22,15,15,70
task7_scenario1_14,B22,15,16,70
task8_scenario1_15,B22,15,16,70
task9_scenario1_16,B22,15,17,70
task10_scenario4_17,B22,6,6,30
task11_scenario2_18,B22,5,5,60
task12_scenario1_19,B22,15,15,70
task13_scenario1_20,B22,15,16,70
task14_scenario2_24,B22,5,4,60
task15_scenario2_25,B22,5,5,60
task16_scenario2_26,B22,5,4,60
task17_scenario1_30,B22,15,16,70
task18_scenario2_31,B22,5,4,60
task19_scenario2_32,B22,5,5,60
task20_scenario1_33,B22,15,15,70
task21_scenario1_35,B22,15,15,70
task22_scenario2_36,B22,5,6,60
task23_scenario2_37,B22,5,3,60
task24_scenario2_40,B22,5,3,60
task25_scenario2_41,B22,5,4,60
task26_scenario1_43,B22,15,15,70
task27_scenario1_44,B22,15,15,70
task28_scenario1_45,B22,15,16,70
task29_scenario1_46,B22,15,13,70
task30_scenario1_48,B22,15,13,70
task31_scenario2_50,B22,5,5,60
task32_scenario1_51,B22,15,14,70
task33_scenario1_52,B22,15,16,70
task34_scenario1_54,B22,15,15,70
task35_scenario1_55,B22,15,15,70
task36_scenario1_56,B22,15,14,70
task37_scenario2_57,B22,5,5,60
task38_scenario2_58,B22,5,5,60
task39_scenario3_59,B22,4,5,20
task40_scenario1_60,B22,15,16,70
task41_scenario1_61,B22,15,16,70
task42_scenario1_62,B22,15,15,70
task43_scenario1_63,B22,15,15,70
task44_scenario1_64,B22,15,14,70
task45_scenario2_66,B22,5,4,60
task46_scenario2_67,B22,5,5,60
task47_scenario4_68,B22,6,4,30
task48_scenario2_69,B22,5,4,60
task49_scenario2_70,B22,5,3,60
task50_scenario1_71,B22,15,16,70
task51_scenario2_72,B22,5,5,60
task52_scenario1_73,B22,15,16,70
task53_scenario1_74,B22,15,16,70
task54_scenario1_75,B22,15,17,70
task55_scenario1_76,B22,15,14,70
task56_scenario1_77,B22,15,14,70
task57_scenario1_79,B22,15,16,70
task58_scenario1_80,B22,15,15,70
task59_scenario1_82,B22,15,15,70
task60_scenario1_83,B22,15,15,70
task61_scenario2_84,B22,5,5,60
task62_scenario1_86,B22,15,15,70
task63_scenario2_87,B22,5,5,60
task64_scenario1_89,B22,15,14,70
task65_scenario1_90,B22,15,13,70
task66_scenario1_91,B22,15,15,70
task67_scenario2_92,B22,5,5,60
task68_scenario1_93,B22,15,14,70
task69_scenario2_94,B22,5,4,60
task70_scenario1_95,B22,15,15,70
task71_scenario2_96,B22,5,4,60
task72_scenario2_97,B22,5,5,60
task73_scenario1_98,B22,15,15,70
task74_scenario1_101,B22,15,15,70
task75_scenario1_102,B22,15,15,70
task76_scenario2_104,B22,5,5,60
task77_scenario1_105,B22,15,14,70
task78_scenario1_106,B22,15,16,70
task79_scenario2_108,B22,5,4,60
task80_scenario1_110,B22,15,15,70
task81_scenario3_111,B22,4,5,20
task82_scenario1_112,B22,15,15,70
task83_scenario2_113,B22,5,3,60
task84_scenario1_115,B22,15,16,70
task85_scenario2_116,B22,5,6,60
task86_scenario1_117,B22,15,18,70
task87_scenario1_118,B22,15,16,70
task88_scenario3_119,B22,4,4,20
task89_scenario4_120,B22,6,7,30
task90_scenario2_121,B22,5,5,60
task91_scenario4_122,B22,6,7,30
task92_scenario1_123,B22,15,14,70
task93_scenario1_124,B22,15,15,70
task94_scenario1_125,B22,15,17,70
task95_scenario2_127,B22,5,4,60
task96_scenario2_128,B22,5,4,60
task97_scenario1_132,B22,15,14,70
task98_scenario1_134,B22,15,15,70
task99_scenario2_136,B22,5,5,60
task100_scenario2_137,B22,5,2,60
task101_scenario3_138,B22,4,6,20
task102_scenario2_139,B22,5,5,60
task103_scenario2_140,B22,5,4,60
task104_scenario2_141,B22,5,5,60
task105_scenario4_142,B22,6,6,30
task106_scenario2_143,B22,5,4,60
task107_scenario1_144,B22,15,13,70
task108_scenario4_145,B22,6,7,30
task109_scenario1_147,B22,15,14,70
task110_scenario2_149,B22,5,3,60
task111_scenario4_150,B22,6,6,30
task112_scenario1_151,B22,15,13,70
task113_scenario2_152,B22,5,4,60
task114_scenario1_153,B22,15,16,70
task115_scenario2_154,B22,5,5,60
task116_scenario1_155,B22,15,16,70
task117_scenario2_156,B22,5,3,60
task118_scenario1_157,B22,15,17,70
task119_scenario1_158,B22,15,16,70
task120_scenario3_159,B22,4,5,20
task121_scenario1_161,B22,15,14,70
task122_scenario1_162,B22,15,16,70
task123_scenario3_163,B22,4,5,20
task124_scenario1_164,B22,15,16,70
task125_scenario4_165,B22,6,5,30
task126_scenario2_167,B22,5,5,60
task127_scenario1_168,B22,15,15,70
task128_scenario2_170,B22,5,5,60
task129_scenario1_172,B22,15,16,70
task130_scenario2_173,B22,5,5,60
task131_scenario2_175,B22,5,6,60
task132_scenario4_176,B22,6,7,30
task133_scenario2_180,B22,5,5,60
task134_scenario2_181,B22,5,2,60
task135_scenario2_182,B22,5,6,60
task136_scenario2_183,B22,5,5,60
task137_scenario3_184,B22,4,5,20
task138_scenario2_185,B22,5,1,60
task139_scenario1_186,B22,15,16,70
task140_scenario2_187,B22,5,4,60
task141_scenario2_188,B22,5,5,60
task142_scenario1_189,B22,15,15,70
task143_scenario2_190,B22,5,5,60
task144_scenario1_191,B22,15,13,70
task145_scenario2_192,B22,5,3,60
task146_scenario2_193,B22,5,4,60
task147_scenario4_194,B22,6,7,30
task148_scenario2_195,B22,5,6,60
task149_scenario1_196,B22,15,15,70
task150_scenario2_197,B22,5,5,60
task151_scenario1_198,B22,15,16,70
task152_scenario2_199,B22,5,4,60
task153_scenario1_200,B22,15,16,70
task154_scenario1_201,B22,15,16,70
task155_scenario2_202,B22,5,4,60
task156_scenario2_203,B22,5,5,60
task157_scenario1_204,B22,15,15,70
task158_scenario1_205,B22,15,17,70
task159_scenario1_206,B22,15,15,70
task160_scenario2_207,B22,5,3,60
task161_scenario1_208,B22,15,13,70
task162_scenario2_209,B22,5,4,60
task163_scenario1_210,B22,15,14,70
task164_scenario1_211,B22,15,18,70
task165_scenario2_212,B22,5,4,60
task166_scenario2_213,B22,5,4,60
task167_scenario1_214,B22,15,17,70
task168_scenario2_215,B22,5,5,60
task169_scenario2_216,B22,5,3,60
task170_scenario2_217,B22,5,3,60
task171_scenario1_218,B22,15,15,70
task172_scenario2_219,B22,5,4,60
task173_scenario3_220,B22,4,4,20
task174_scenario2_221,B22,5,4,60
task175_scenario1_222,B22,15,16,70
task176_scenario1_223,B22,15,16,70
task177_scenario4_224,B22,6,7,30
task178_scenario2_225,B22,5,6,60
task179_scenario3_226,B22,4,5,20
task180_scenario1_227,B22,15,16,70
task181_scenario1_228,B22,15,16,70
task182_scenario1_229,B22,15,16,70
task183_scenario2_230,B22,5,5,60
task184_scenario1_231,B22,15,17,70
task185_scenario1_232,B22,15,16,70
task186_scenario1_233,B22,15,14,70
task187_scenario1_234,B22,15,14,70
task188_scenario1_235,B22,15,15,70
task189_scenario2_236,B22,5,4,60
task190_scenario4_237,B22,6,7,30
task191_scenario2_238,B22,5,5,60
task192_scenario2_239,B22,5,4,60
task193_scenario1_240,B22,15,15,70
task194_scenario1_241,B22,15,15,70
task195_scenario2_242,B22,5,6,60
task196_scenario4_243,B22,6,5,30
task197_scenario4_244,B22,6,6,30
task198_scenario4_245,B22,6,6,30
task199_scenario2_246,B22,5,4,60
task200_scenario2_247,B22,5,6,60
task201_scenario2_248,B22,5,4,60
task202_scenario2_249,B22,5,4,60
task203_scenario2_250,B22,5,6,60
task204_scenario2_251,B22,5,3,60
task205_scenario1_252,B22,15,15,70
task206_scenario1_253,B22,15,14,70
task207_scenario2_254,B22,5,4,60
task208_scenario1_255,B22,15,17,70
task209_scenario2_256,B22,5,3,60
task210_scenario4_257,B22,6,6,30
task211_scenario1_258,B22,15,15,70
task212_scenario2_259,B22,5,3,60
task213_scenario1_260,B22,15,15,70
task214_scenario1_261,B22,15,13,70
task215_scenario1_262,B22,15,14,70
task216_scenario2_263,B22,5,3,60
task217_scenario1_264,B22,15,15,70
task218_scenario1_265,B22,15,17,70
task219_scenario2_266,B22,5,3,60
task220_scenario2_267,B22,5,5,60
task221_scenario2_268,B22,5,5,60
task222_scenario2_269,B22,5,4,60
task223_scenario2_271,B22,5,3,60
task224_scenario1_273,B22,15,14,70
task225_scenario1_274,B22,15,15,70
task226_scenario1_275,B22,15,14,70
task227_scenario4_276,B22,6,9,30
task228_scenario2_278,B22,5,4,60
task229_scenario1_279,B22,15,14,70
task230_scenario3_282,B22,4,7,20
task231_scenario1_283,B22,15,15,70
task232_scenario1_284,B22,15,15,70
task233_scenario4_285,B22,6,6,30
task234_scenario2_286,B22,5,4,60
task235_scenario1_287,B22,15,15,70
task236_scenario3_290,B22,4,4,20
task237_scenario2_291,B22,5,5,60
task238_scenario1_292,B22,15,15,70
task239_scenario1_293,B22,15,15,70
task240_scenario1_294,B22,15,18,70
task241_scenario1_295,B22,15,16,70
task242_scenario1_297,B22,15,15,70
task243_scenario4_299,B22,6,6,30
task244_scenario1_300,B22,15,16,70
task245_scenario4_301,B22,6,6,30
task246_scenario1_303,B22,15,14,70
task247_scenario1_304,B22,15,15,70
task248_scenario4_305,B22,6,5,30
task249_scenario1_306,B22,15,15,70
task250_scenario4_307,B22,6,7,30
task251_scenario1_308,B22,15,15,70
task252_scenario1_310,B22,15,17,70
task253_scenario1_311,B22,15,16,70
task254_scenario2_313,B22,5,4,60
task255_scenario2_314,B22,5,5,60
task256_scenario1_315,B22,15,13,70
task257_scenario2_316,B22,5,4,60
task258_scenario1_317,B22,15,17,70
task259_scenario3_318,B22,4,6,20
task260_scenario2_319,B22,5,3,60
task261_scenario1_320,B22,15,17,70
task262_scenario2_322,B22,5,5,60
task263_scenario1_323,B22,15,14,70
task264_scenario2_324,B22,5,3,60
task265_scenario1_325,B22,15,16,70
task266_scenario1_326,B22,15,16,70
task267_scenario2_328,B22,5,3,60
task268_scenario2_329,B22,5,2,60
task269_scenario1_330,B22,15,15,70
task270_scenario2_331,B22,5,3,60
task271_scenario1_332,B22,15,15,70
task272_scenario2_334,B22,5,5,60
task273_scenario1_335,B22,15,12,70
task274_scenario2_336,B22,5,6,60
task275_scenario4_337,B22,6,8,30
task276_scenario2_338,B22,5,3,60
task277_scenario2_339,B22,5,5,60
task278_scenario1_340,B22,15,16,70
task279_scenario4_341,B22,6,8,30
task280_scenario1_342,B22,15,14,70
task281_scenario1_343,B22,15,15,70
task282_scenario2_344,B22,5,5,60
task283_scenario2_345,B22,5,4,60
task284_scenario2_346,B22,5,6,60
task285_scenario3_347,B22,4,4,20
task286_scenario4_349,B22,6,7,30
task287_scenario4_351,B22,6,6,30
task288_scenario1_352,B22,15,14,70
task289_scenario1_353,B22,15,15,70
task290_scenario2_354,B22,5,3,60
task291_scenario3_356,B22,4,6,20
task292_scenario1_357,B22,15,16,70
task293_scenario4_359,B22,6,7,30
task0_scenario2_1,B38,9,9,60
task1_scenario1_2,B38,15,13,70
task2_scenario1_3,B38,15,15,70
task3_scenario1_6,B38,15,15,70
task4_scenario2_10,B38,9,9,60
task5_scenario2_11,B38,9,11,60
task6_scenario1_13,B38,15,16,70
task7_scenario1_14,B38,15,15,70
task8_scenario1_15,B38,15,15,70
task9_scenario1_16,B38,15,13,70
task10_scenario4_17,B38,9,9,30
task11_scenario2_18,B38,9,9,60
task12_scenario1_19,B38,15,15,70
task13_scenario1_20,B38,15,15,70
task14_scenario2_24,B38,9,8,60
task15_scenario2_25,B38,9,9,60
task16_scenario2_26,B38,9,8,60
task17_scenario1_30,B38,15,15,70
task18_scenario2_31,B38,9,8,60
task19_scenario2_32,B38,9,11,60
task20_scenario1_33,B38,15,14,70
task21_scenario1_35,B38,15,15,70
task22_scenario2_36,B38,9,8,60
task23_scenario2_37,B38,9,8,60
task24_scenario2_40,B38,9,9,60
task25_scenario2_41,B38,9,8,60
task26_scenario1_43,B38,15,14,70
task27_scenario1_44,B38,15,14,70
task28_scenario1_45,B38,15,14,70
task29_scenario1_46,B38,15,14,70
task30_scenario1_48,B38,15,17,70
task31_scenario2_50,B38,9,9,60
task32_scenario1_51,B38,15,13,70
task33_scenario1_52,B38,15,14,70
task34_scenario1_54,B38,15,15,70
task35_scenario1_55,B38,15,14,70
task36_scenario1_56,B38,15,15,70
task37_scenario2_57,B38,9,8,60
task38_scenario2_58,B38,9,8,60
task39_scenario3_59,B38,6,6,20
task40_scenario1_60,B38,15,15,70
task41_scenario1_61,B38,15,15,70
task42_scenario1_62,B38,15,16,70
task43_scenario1_63,B38,15,15,70
task44_scenario1_64,B38,15,15,70
task45_scenario2_66,B38,9,9,60
task46_scenario2_67,B38,9,10,60
task47_scenario4_68,B38,9,10,30
task48_scenario2_69,B38,9,9,60
task49_scenario2_70,B38,9,9,60
task50_scenario1_71,B38,15,15,70
task51_scenario2_72,B38,9,10,60
task52_scenario1_73,B38,15,17,70
task53_scenario1_74,B38,15,15,70
task54_scenario1_75,B38,15,14,70
task55_scenario1_76,B38,15,17,70
task56_scenario1_77,B38,15,14,70
task57_scenario1_79,B38,15,15,70
task58_scenario1_80,B38,15,15,70
task59_scenario1_82,B38,15,18,70
task60_scenario1_83,B38,15,13,70
task61_scenario2_84,B38,9,9,60
task62_scenario1_86,B38,15,14,70
task63_scenario2_87,B38,9,8,60
task64_scenario1_89,B38,15,16,70
task65_scenario1_90,B38,15,15,70
task66_scenario1_91,B38,15,15,70
task67_scenario2_92,B38,9,8,60
task68_scenario1_93,B38,15,14,70
task69_scenario2_94,B38,9,8,60
task70_scenario1_95,B38,15,14,70
task71_scenario2_96,B38,9,9,60
task72_scenario2_97,B38,9,11,60
task73_scenario1_98,B38,15,14,70
task74_scenario1_101,B38,15,16,70
task75_scenario1_102,B38,15,14,70
task76_scenario2_104,B38,9,8,60
task77_scenario1_105,B38,15,15,70
task78_scenario1_106,B38,15,15,70
task79_scenario2_108,B38,9,9,60
task80_scenario1_110,B38,15,15,70
task81_scenario3_111,B38,6,7,20
task82_scenario1_112,B38,15,16,70
task83_scenario2_113,B38,9,9,60
task84_scenario1_115,B38,15,14,70
task85_scenario2_116,B38,9,10,60
task86_scenario1_117,B38,15,14,70
task87_scenario1_118,B38,15,14,70
task88_scenario3_119,B38,6,8,20
task89_scenario4_120,B38,9,9,30
task90_scenario2_121,B38,9,10,60
task91_scenario4_122,B38,9,8,30
task92_scenario1_123,B38,15,16,70
task93_scenario1_124,B38,15,13,70
task94_scenario1_125,B38,15,14,70
task95_scenario2_127,B38,9,11,60
task96_scenario2_128,B38,9,7,60
task97_scenario1_132,B38,15,18,70
task98_scenario1_134,B38,15,15,70
task99_scenario2_136,B38,9,9,60
task100_scenario2_137,B38,9,8,60
task101_scenario3_138,B38,6,6,20
task102_scenario2_139,B38,9,10,60
task103_scenario2_140,B38,9,11,60
task104_scenario2_141,B38,9,9,60
task105_scenario4_142,B38,9,10,30
task106_scenario2_143,B38,9,9,60
task107_scenario1_144,B38,15,16,70
task108_scenario4_145,B38,9,10,30
task109_scenario1_147,B38,15,14,70
task110_scenario2_149,B38,9,10,60
task111_scenario4_150,B38,9,10,30
task112_scenario1_151,B38,15,14,70
task113_scenario2_152,B38,9,8,60
task114_scenario1_153,B38,15,14,70
task115_scenario2_154,B38,9,9,60
task116_scenario1_155,B38,15,17,70
task117_scenario2_156,B38,9,9,60
task118_scenario1_157,B38,15,16,70
task119_scenario1_158,B38,15,15,70
task120_scenario3_159,B38,6,7,20
task121_scenario1_161,B38,15,13,70
task122_scenario1_162,B38,15,14,70
task123_scenario3_163,B38,6,5,20
task124_scenario1_164,B38,15,14,70
task125_scenario4_165,B38,9,10,30
task126_scenario2_167,B38,9,9,60
task127_scenario1_168,B38,15,14,70
task128_scenario2_170,B38,9,9,60
task129_scenario1_172,B38,15,15,70
task130_scenario2_173,B38,9,10,60
task131_scenario2_175,B38,9,10,60
task132_scenario4_176,B38,9,7,30
task133_scenario2_180,B38,9,7,60
task134_scenario2_181,B38,9,9,60
task135_scenario2_182,B38,9,8,60
task136_scenario2_183,B38,9,8,60
task137_scenario3_184,B38,6,7,20
task138_scenario2_185,B38,9,9,60
task139_scenario1_186,B38,15,15,70
task140_scenario2_187,B38,9,7,60
task141_scenario2_188,B38,9,8,60
task142_scenario1_189,B38,15,15,70
task143_scenario2_190,B38,9,8,60
task144_scenario1_191,B38,15,13,70
task145_scenario2_192,B38,9,8,60
